x,y,time,weight,type,description
41.909910,-87.676734,1200,1,"VANDALISM","TO LAND"
41.880991,-87.704637,1200,1,"ASSAULT","SIMPLE"
41.866182,-87.724468,1200,1,"THEFT","AUTOMOBILE"
41.887795,-87.767250,1200,1,"ASSAULT","AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY"
41.974743,-87.713543,1182,1,"WEAPONS","UNLAWFUL POSSESSION - HANDGUN"
41.945601,-87.709807,1180,1,"THEFT","THEFT FROM MOTOR VEHICLE"
41.879873,-87.624358,1171,1,"ASSAULT","SIMPLE"
41.946525,-87.747090,1170,1,"ASSAULT","SIMPLE"
41.849196,-87.693707,1170,1,"ASSAULT","SIMPLE"
41.878556,-87.664343,1169,1,"THEFT","$500 AND UNDER"
41.742510,-87.641364,1166,1,"OTHER OFFENSE","VIOLATE ORDER OF PROTECTION"
41.771272,-87.661565,1162,1,"VANDALISM","TO PROPERTY"
41.783051,-87.620549,1161,1,"ASSAULT","SIMPLE"
41.940263,-87.777511,1160,1,"THEFT","THEFT / RECOVERY - AUTOMOBILE"
41.805930,-87.732422,1160,1,"THEFT","ARMED - HANDGUN"
41.867753,-87.705711,1152,1,"ASSAULT","SIMPLE"
41.777139,-87.660503,1152,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.891679,-87.627552,1147,1,"VANDALISM","TO LAND"
41.846373,-87.701827,1147,1,"NARCOTICS","POSSESS - CANNABIS MORE THAN 30 GRAMS"
41.994516,-87.705607,1140,1,"VANDALISM","TO VEHICLE"
41.902830,-87.638552,1140,1,"THEFT","THEFT FROM MOTOR VEHICLE"
41.843701,-87.713550,1140,1,"THEFT","AUTOMOBILE"
41.771813,-87.640279,1140,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.882512,-87.664992,1140,1,"THEFT","$500 AND UNDER"
41.746579,-87.614844,1140,1,"VANDALISM","TO VEHICLE"
41.778877,-87.708840,1140,1,"OTHER OFFENSE","HARASSMENT BY TELEPHONE"
41.878586,-87.745989,1140,1,"VANDALISM","TO VEHICLE"
41.941121,-87.782315,1140,1,"THEFT","AUTOMOBILE"
41.902693,-87.640511,1140,1,"VANDALISM","TO VEHICLE"
41.910513,-87.675762,1130,1,"FRAUD","CREDIT CARD FRAUD"
41.885384,-87.629487,1130,1,"THEFT","BURGLARY FROM MOTOR VEHICLE"
41.948640,-87.739513,1125,1,"ASSAULT","SIMPLE"
41.917480,-87.698103,1120,1,"THEFT","AUTOMOBILE"
41.768070,-87.567306,1110,1,"VANDALISM","TO PROPERTY"
41.941463,-87.719919,1110,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.925845,-87.698667,1110,1,"THEFT","$500 AND UNDER"
41.871692,-87.696041,1105,1,"WEAPONS","UNLAWFUL POSSESSION - AMMUNITION"
41.866993,-87.656985,1095,1,"FRAUD","CREDIT CARD FRAUD"
41.829091,-87.623209,1091,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.782913,-87.615693,1080,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.807499,-87.590234,1080,1,"VANDALISM","TO VEHICLE"
41.893282,-87.627596,1080,1,"THEFT","THEFT FROM MOTOR VEHICLE"
41.929823,-87.653764,1080,1,"THEFT","UNLAWFUL ENTRY"
41.946157,-87.744840,1067,1,"ASSAULT","SIMPLE"
41.931583,-87.742747,1066,1,"THEFT","RETAIL THEFT"
41.754092,-87.623062,1060,1,"ASSAULT","SIMPLE"
41.859752,-87.620811,1057,1,"THEFT","$500 AND UNDER"
41.917330,-87.648473,1055,1,"FRAUD","ILLEGAL USE CASH CARD"
41.999761,-87.660687,1050,1,"THEFT","AUTOMOBILE"
41.822861,-87.690634,1050,1,"FRAUD","THEFT OF LOST / MISLAID PROPERTY"
41.774189,-87.613081,1050,1,"THEFT","OVER $500"
41.864073,-87.625164,1050,1,"THEFT","OVER $500"
41.837487,-87.623425,1050,1,"VANDALISM","TO VEHICLE"
41.690675,-87.630939,1050,1,"ASSAULT","SIMPLE"
41.938747,-87.640470,1044,1,"THEFT","THEFT / RECOVERY - AUTOMOBILE"
41.775097,-87.703048,1027,1,"THEFT","RETAIL THEFT"
41.871679,-87.696042,1026,1,"NARCOTICS","POSSESS - HEROIN (WHITE)"
41.785757,-87.612680,1026,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.867234,-87.641302,1025,1,"SEX OFFENSE","PUBLIC INDECENCY"
41.891695,-87.626156,1025,1,"FRAUD","CREDIT CARD FRAUD"
41.701076,-87.606266,1023,1,"THEFT","OVER $500"
41.986785,-87.747100,1020,1,"THEFT","AUTOMOBILE"
41.745464,-87.688266,1020,1,"FRAUD","FINANCIAL IDENTITY THEFT OVER $ 300"
41.794323,-87.624737,1020,1,"THEFT","AUTOMOBILE"
41.795386,-87.619243,1020,1,"THEFT","AUTOMOBILE"
41.932027,-87.708058,1020,1,"SEX OFFENSE","AGG CRIM SEX ABUSE - VIC 13-16 YOA - OFF 5 YR OLDER PENETRAT"
41.939013,-87.766514,1016,1,"ASSAULT","SIMPLE"
41.862218,-87.639087,1011,1,"ASSAULT","SIMPLE"
41.759690,-87.574916,1001,1,"ASSAULT","AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY"
41.893843,-87.624230,1000,1,"THEFT","FROM BUILDING"
41.842989,-87.646400,997,1,"VANDALISM","TO PROPERTY"
41.750095,-87.650092,995,1,"THEFT","ATTEMPT ARMED - HANDGUN"
41.997614,-87.696541,995,1,"THEFT","RETAIL THEFT"
41.872911,-87.630629,990,1,"THEFT","$500 AND UNDER"
41.917185,-87.639994,990,1,"THEFT","AUTOMOBILE"
41.879411,-87.631340,984,1,"THEFT","FROM BUILDING"
41.808708,-87.712406,980,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.939262,-87.713357,975,1,"THEFT","RETAIL THEFT"
41.912150,-87.736181,975,1,"THEFT","AUTOMOBILE"
41.772557,-87.574024,970,1,"THEFT","$500 AND UNDER"
41.755500,-87.646594,965,1,"OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS"
41.795191,-87.588147,965,1,"FRAUD","FRAUD OR CONFIDENCE GAME"
41.727084,-87.593693,960,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.659158,-87.638883,960,1,"THEFT","AUTOMOBILE"
41.778966,-87.615598,960,1,"OTHER OFFENSE","VIOLATE ORDER OF PROTECTION"
41.895648,-87.630358,960,1,"THEFT","AUTOMOBILE"
41.774755,-87.685960,960,1,"ASSAULT","SIMPLE"
41.782913,-87.615693,960,1,"THEFT","$500 AND UNDER"
41.899093,-87.718157,960,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.761792,-87.573718,960,1,"VANDALISM","TO VEHICLE"
41.874060,-87.705924,958,1,"ASSAULT","SIMPLE"
41.680693,-87.662446,952,1,"THEFT","RETAIL THEFT"
41.935694,-87.777025,946,1,"VANDALISM","TO VEHICLE"
41.876627,-87.635171,946,1,"OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS"
41.750928,-87.557729,945,1,"VANDALISM","TO PROPERTY"
41.740422,-87.553917,938,1,"ASSAULT","SIMPLE"
41.972360,-87.728143,931,1,"ASSAULT","SIMPLE"
41.706204,-87.699685,930,1,"THEFT","RETAIL THEFT"
41.842074,-87.711067,930,1,"THEFT","$500 AND UNDER"
41.725052,-87.594860,930,1,"VANDALISM","TO PROPERTY"
41.888657,-87.749114,929,1,"NARCOTICS","MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS"
41.784206,-87.658262,925,1,"THEFT","$500 AND UNDER"
41.763506,-87.636293,923,1,"THEFT","$500 AND UNDER"
41.709945,-87.617490,921,1,"ASSAULT","SIMPLE"
41.778919,-87.706413,920,1,"FRAUD","FRAUD OR CONFIDENCE GAME"
41.946649,-87.702085,920,1,"VANDALISM","TO LAND"
41.763933,-87.612499,917,1,"ASSAULT","AGGRAVATED - HANDGUN"
41.908082,-87.670063,905,1,"THEFT","OVER $500"
41.943640,-87.647850,900,1,"THEFT","OVER $500"
41.963982,-87.667770,900,1,"THEFT","$500 AND UNDER"
41.784709,-87.618969,899,1,"VANDALISM","TO VEHICLE"
41.966009,-87.781968,895,1,"VANDALISM","TO VEHICLE"
41.896672,-87.628635,895,1,"THEFT","FROM BUILDING"
41.765995,-87.584420,887,1,"ASSAULT","AGGRAVATED POLICE OFFICER - HANDGUN"
41.863197,-87.614818,885,1,"ASSAULT","SIMPLE"
41.802706,-87.616268,885,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.777053,-87.675063,884,1,"THEFT","$500 AND UNDER"
41.697131,-87.624055,880,1,"ASSAULT","SIMPLE"
41.880215,-87.690416,877,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.748083,-87.633018,870,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.960382,-87.774880,860,1,"VANDALISM","TO VEHICLE"
41.869206,-87.699536,860,1,"NARCOTICS","POSSESS - HEROIN (WHITE)"
41.817156,-87.631228,857,1,"ASSAULT","SIMPLE"
41.930946,-87.788963,852,1,"THEFT","RETAIL THEFT"
41.996588,-87.689845,851,1,"THEFT","OVER $500"
41.841103,-87.626853,843,1,"ASSAULT","SIMPLE"
41.746945,-87.606328,840,1,"SEX OFFENSE","NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES"
41.753341,-87.672010,840,1,"THEFT","OVER $500"
41.830256,-87.617219,840,1,"THEFT","ATTEMPT - AUTOMOBILE"
41.972677,-87.700044,840,1,"THEFT","$500 AND UNDER"
41.799810,-87.742950,840,1,"THEFT","OVER $500"
42.002352,-87.672080,840,1,"THEFT","AUTOMOBILE"
41.893763,-87.765353,840,1,"VANDALISM","TO VEHICLE"
41.947376,-87.706618,839,1,"ASSAULT","AGGRAVATED - KNIFE / CUTTING INSTRUMENT"
41.977055,-87.656432,838,1,"ASSAULT","AGGRAVATED - HANDGUN"
41.832256,-87.620573,838,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.773026,-87.612269,837,1,"WEAPONS","UNLAWFUL POSSESSION - HANDGUN"
41.968810,-87.675111,830,1,"THEFT","FROM BUILDING"
41.772410,-87.587956,825,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.783097,-87.761928,825,1,"ASSAULT","SIMPLE"
41.991031,-87.698200,820,1,"OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS"
41.787757,-87.801349,818,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.896668,-87.628885,810,1,"THEFT","$500 AND UNDER"
41.751198,-87.572315,810,1,"THEFT","STRONG ARM - NO WEAPON"
41.750941,-87.625185,805,1,"OTHER OFFENSE","VIOLATE ORDER OF PROTECTION"
41.763177,-87.657955,805,1,"ASSAULT","AGGRAVATED - HANDGUN"
41.988631,-87.812829,790,1,"VANDALISM","TO LAND"
41.895096,-87.689289,785,1,"THEFT","OVER $500"
41.924948,-87.700678,785,1,"THEFT","RETAIL THEFT"
41.941373,-87.745270,780,1,"OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS"
41.870921,-87.726461,780,1,"THEFT","FROM BUILDING"
41.992677,-87.682344,780,1,"FRAUD","THEFT OF LOST / MISLAID PROPERTY"
41.777871,-87.714071,780,1,"FRAUD","FINANCIAL IDENTITY THEFT $300 AND UNDER"
41.776833,-87.683578,780,1,"ASSAULT","SIMPLE"
41.772934,-87.702999,776,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.967435,-87.694985,774,1,"OTHER OFFENSE","TELEPHONE THREAT"
41.863244,-87.715329,770,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.961099,-87.747563,769,1,"NARCOTICS","POSSESS - CANNABIS 30 GRAMS OR LESS"
41.736260,-87.628069,755,1,"ASSAULT","SIMPLE"
41.785675,-87.689916,750,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.746260,-87.663332,746,1,"THEFT","AUTOMOBILE"
41.958419,-87.655464,740,1,"THEFT","UNLAWFUL ENTRY"
41.848575,-87.675648,739,1,"ASSAULT","SIMPLE"
41.792975,-87.723152,735,1,"FRAUD","FRAUD OR CONFIDENCE GAME"
42.004796,-87.675207,730,1,"OTHER OFFENSE","OTHER VEHICLE OFFENSE"
41.890032,-87.773507,726,1,"ASSAULT","SIMPLE"
41.903866,-87.733720,725,1,"THEFT","AUTOMOBILE"
41.775156,-87.672589,723,1,"THEFT","ARMED - HANDGUN"
41.962037,-87.785102,720,1,"VANDALISM","TO VEHICLE"
41.776798,-87.604165,720,1,"THEFT","BURGLARY FROM MOTOR VEHICLE"
41.753182,-87.598371,720,1,"THEFT","AUTOMOBILE"
41.978385,-87.716041,720,1,"THEFT","BURGLARY FROM MOTOR VEHICLE"
41.768577,-87.662055,720,1,"FRAUD","ILLEGAL USE CASH CARD"
41.825119,-87.702022,720,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.785848,-87.607582,720,1,"ASSAULT","AGGRAVATED - HANDGUN"
41.909085,-87.692091,720,1,"SEX OFFENSE","NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES"
42.016042,-87.668685,719,1,"THEFT","AGGRAVATED"
41.811360,-87.606058,712,1,"NARCOTICS","MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS"
41.857250,-87.627182,711,1,"WEAPONS","UNLAWFUL POSSESSION - HANDGUN"
41.827035,-87.633846,711,1,"VANDALISM","TO VEHICLE"
41.853480,-87.726086,706,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.904101,-87.752254,700,1,"ASSAULT","AGGRAVATED - OTHER DANGEROUS WEAPON"
41.954507,-87.653373,700,1,"THEFT","RETAIL THEFT"
41.753608,-87.640457,694,1,"THEFT","$500 AND UNDER"
41.868007,-87.723882,691,1,"NARCOTICS","POSSESS - HEROIN (WHITE)"
41.935011,-87.759787,690,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.888526,-87.644322,690,1,"THEFT","RETAIL THEFT"
41.778526,-87.734137,685,1,"ASSAULT","SIMPLE"
41.877917,-87.715797,677,1,"ASSAULT","SIMPLE"
41.904418,-87.765736,670,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.721689,-87.626539,670,1,"THEFT","ARMED - HANDGUN"
41.747851,-87.710497,665,1,"VANDALISM","TO PROPERTY"
41.781436,-87.620399,660,1,"THEFT","$500 AND UNDER"
41.750897,-87.627813,660,1,"ASSAULT","SIMPLE"
41.774363,-87.610667,660,1,"THEFT","AUTOMOBILE"
41.858580,-87.625629,650,1,"OTHER OFFENSE","TELEPHONE THREAT"
41.898377,-87.624738,639,1,"ASSAULT","SIMPLE"
41.749986,-87.560965,634,1,"ASSAULT","SIMPLE"
41.880935,-87.709133,630,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.774363,-87.610667,630,1,"VANDALISM","TO PROPERTY"
41.950264,-87.780454,629,1,"ASSAULT","AGGRAVATED - HANDGUN"
41.792170,-87.790839,625,1,"THEFT","$500 AND UNDER"
41.928288,-87.663423,623,1,"FRAUD","THEFT OF LABOR / SERVICES"
41.939262,-87.713357,620,1,"THEFT","RETAIL THEFT"
41.718751,-87.535285,615,1,"VANDALISM","TO PROPERTY"
41.743975,-87.664492,608,1,"OTHER OFFENSE","ANIMAL ABUSE / NEGLECT"
41.880329,-87.758473,600,1,"THEFT","AUTOMOBILE"
41.949568,-87.801005,600,1,"VANDALISM","TO VEHICLE"
41.700323,-87.628099,600,1,"THEFT","FORCIBLE ENTRY"
41.768070,-87.567306,590,1,"VANDALISM","TO PROPERTY"
41.754636,-87.561441,586,1,"ASSAULT","AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY"
41.882394,-87.627845,572,1,"THEFT","RETAIL THEFT"
41.758289,-87.561507,570,1,"ASSAULT","SIMPLE"
41.898327,-87.627820,570,1,"THEFT","FROM BUILDING"
41.678238,-87.680734,565,1,"THEFT","RETAIL THEFT"
41.877110,-87.723865,565,1,"OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS"
41.726575,-87.629812,550,1,"THEFT","OVER $500"
41.779998,-87.629295,547,1,"ASSAULT","SIMPLE"
41.779806,-87.641132,544,1,"THEFT","$500 AND UNDER"
41.885892,-87.654483,540,1,"STALKING","CYBERSTALKING"
41.783955,-87.765623,540,1,"ASSAULT","AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON"
41.703644,-87.536494,540,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.959614,-87.679798,535,1,"VANDALISM","TO PROPERTY"
41.805892,-87.669757,522,1,"OTHER OFFENSE","FALSE / STOLEN / ALTERED TRP"
41.688840,-87.668410,510,1,"VANDALISM","TO PROPERTY"
41.893469,-87.632648,510,1,"THEFT","RETAIL THEFT"
41.895790,-87.761912,504,1,"THEFT","BURGLARY FROM MOTOR VEHICLE"
42.022526,-87.672437,484,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.750553,-87.587344,480,1,"THEFT","AUTOMOBILE"
41.736346,-87.585636,480,1,"FRAUD","COUNTERFEITING DOCUMENT"
41.747480,-87.614072,473,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.735870,-87.644385,467,1,"NARCOTICS","POSSESS - CANNABIS 30 GRAMS OR LESS"
41.917443,-87.752173,465,1,"VANDALISM","TO PROPERTY"
41.750658,-87.614956,452,1,"OTHER OFFENSE","TELEPHONE THREAT"
41.903077,-87.683673,447,1,"THEFT","$500 AND UNDER"
41.790708,-87.604942,435,1,"ASSAULT","SIMPLE"
41.891638,-87.630299,430,1,"THEFT","FORCIBLE ENTRY"
41.870095,-87.735857,422,1,"WEAPONS","UNLAWFUL POSSESSION - HANDGUN"
41.803700,-87.684293,420,1,"VANDALISM","TO VEHICLE"
41.756331,-87.602879,420,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.779482,-87.783191,410,1,"VANDALISM","TO VEHICLE"
41.735330,-87.625419,400,1,"ASSAULT","AGGRAVATED - OTHER DANGEROUS WEAPON"
41.779502,-87.781637,400,1,"THEFT","BURGLARY FROM MOTOR VEHICLE"
41.788987,-87.741480,360,1,"THEFT","FROM BUILDING"
41.958334,-87.673888,360,1,"OTHER OFFENSE","HARASSMENT BY TELEPHONE"
41.754636,-87.550890,345,1,"ASSAULT","AGGRAVATED - OTHER"
41.777671,-87.730061,330,1,"THEFT","BURGLARY FROM MOTOR VEHICLE"
41.759332,-87.630811,327,1,"VANDALISM","TO VEHICLE"
41.847446,-87.703894,300,1,"VANDALISM","TO VEHICLE"
41.890014,-87.631665,300,1,"ASSAULT","SIMPLE"
41.943221,-87.724860,300,1,"THEFT","OVER $500"
41.860493,-87.705499,300,1,"OTHER OFFENSE","VIOLATE ORDER OF PROTECTION"
41.777216,-87.662926,277,1,"ASSAULT","SIMPLE"
41.932013,-87.640940,272,1,"ASSAULT","SIMPLE"
42.011400,-87.675084,271,1,"THEFT","THEFT FROM MOTOR VEHICLE"
41.844179,-87.729760,270,1,"ASSAULT","AGGRAVATED - HANDGUN"
41.816879,-87.695690,255,1,"ASSAULT","AGGRAVATED - HANDGUN"
41.947228,-87.655380,255,1,"VANDALISM","TO PROPERTY"
41.904827,-87.632954,255,1,"ASSAULT","SIMPLE"
41.769045,-87.589524,255,1,"ASSAULT","SIMPLE"
41.721671,-87.627961,245,1,"ASSAULT","AGGRAVATED - HANDGUN"
41.765068,-87.583650,243,1,"VANDALISM","TO VEHICLE"
41.883058,-87.751104,242,1,"ASSAULT","DOMESTIC BATTERY SIMPLE"
41.899206,-87.705553,240,1,"THEFT","AUTOMOBILE"
41.921313,-87.742581,239,1,"THEFT","BURGLARY FROM MOTOR VEHICLE"
41.688025,-87.648329,234,1,"ASSAULT","AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT"
41.897716,-87.749234,230,1,"ASSAULT","AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY"
